person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Abi Canter,,2021-22,2021-22,1,2021-22,Senator At Large,Senator At Large (2021-22); Senator-at-large (2021-22),"Canter served as a senator-at-large in 2021-22. She was a listed author, alongside committee chair Calleigh Powell and fellow senator Cole Bornefeld, of Bill 15-22-S, which allocated $100 from SGA's legislative discretionary fund toward the Intercultural Student Engagement Center's March 2022 Women's History Month tabling. She also co-authored Resolution 2-22-S, adopting the Swipe-Out Hunger Initiative as an SGA ""signature service"" under which students on the Weekly, All Access Meal, or Block meal plans could donate a meal swipe on set weeks each semester to classmates facing food insecurity, with the WKU Restaurant Group donating one additional meal swipe for every four donated, up to 250. Named as an author on two pieces of SGA legislation in the 2021-22 session: Resolution 2-22-S (Resolution to Support The Swipe-Out Hunger Initiative); Bill 15-22-S (Funding for the Intercultural Student Engagement Center (ISEC) Women’s History Month Tabling).","SGA Bill 15-22-S, 2021-22 session; SGA legislation: Resolution 2-22-S, Resolution to Support The Swipe-Out Hunger Initiative"
Abigail Potter,,2014-15,2014-15,1,2014-15,"Justice, Judicial Council","Justice, Judicial Council (2014-15)","Abigail Potter served as an associate justice on the SGA Judicial Council for 2014-15, one of six justices with Chief Justice Kara Raley and Stacey Schepers, Allie Payne, Robert Bell and Amber Daniels. The council was appointed by the SGA president and confirmed by the Senate to interpret the SGA constitution and bylaws and to review and enact election codes, meeting every other Thursday in Cravens Library.","SGA Judicial Branch page, archived 16 Apr 2015 (last modified 25 Feb 2015)"
Adam Howard,,1998-99,2000-01,2,1998-99; 2000-01,Vice President of Administration,Vice President of Administration (2000-01); Secretary of the Academic Affairs committee; extremely active floor member (1998-99),"Confirmed as Secretary reporting for Academic Affairs 10 Feb 1999; author or floor speaker on many bills nearly every meeting Sept 1998-April 1999. Before running unopposed for vice president of administration in the 2000 elections, Adam Howard co-authored Resolution 00-2-S with outgoing president Amanda Coates, asking the Faculty Senate to approve a mandatory SGA-sponsored evaluation of instructors; it passed 4 April 2000, the same week the Herald previewed his candidacy.","SGA Meeting Minutes, February 10, 1999; WKU news release, 14 Apr 2000 (archived)"
Adam Leach,,2001-02,2001-02,1,2001-02,Sergeant-at-Arms,Sergeant-at-Arms (2001-02),"Adam Leach was appointed sergeant-at-arms by the executive vice president at Congress's meeting of 4 September 2001, and Congress approved the appointment the same night.","SGA Meeting Minutes, September 4, 2001"
Adan Canizalez,,2022-23,2022-23,1,2022-23,Senator At Large,Senator At Large (2022-23); Senator at Large (2022-23),"Adan Canizalez served as a Senator at Large in 2022-23. He co-authored Bill 27-23-S with fellow senator Danny Vuleta and Chief of Staff Lauren Willett, allocating $2,000 from the Legislative Voucher Program to cover fall and spring 2022-23 vouchers for the WKU Dental Hygiene Clinic, ID Center and Preston Center; the Senate passed it 34-0 on 7 February 2023. Named as an author on two pieces of SGA legislation in the 2022-23 session: Bill 27-23-S (Funding for vouchers for the WKU Dental Hygiene Center, ID Center and Preston Center); Bill 29-23-S (Funding for SGA and the Talisman’s Poetry Mic Night).","SGA Bill 27-23-S, 2022-23 session; SGA legislation: Bill 27-23-S, Funding for vouchers for the WKU Dental Hygiene Center, ID Center and Preston Center"
Addison Falkner,,2021-22,2021-22,1,2021-22,Freshman Senator,Freshman Senator (2021-22),Named as an author on two pieces of SGA legislation in the 2021-22 session: Resolution 6-21-F (Resolution to Support the Inclusion of Studetns in Mandatory Title IX Trainings). Bill 9-21-F amended SGA's constitution or bylaws.,"SGA Bill 9-21-F, 2021-22 session"
Addison McCoun,,2020-21,2021-22,2,2020-21; 2021-22,Senator-at-Large,Senator-at-Large (2020-21); Potter College of Arts & Letters Senator (2021-22),"Nominated by President Edmonds and confirmed as a Senator-at-Large, 10 Nov 2020. Her later election to chair the Legislative Research Committee, succeeding Dawson McCoun, is already recorded elsewhere in the archive (organization.senate.committees for this year) but is not independently confirmed by any minutes in this corpus, which ends 2 Mar 2021. Also chaired the Legislative Operations Committee.","SGA Bill 9-21-F, 2021-22 session; SGA Senate minutes, 10 Nov 2020"
Adrian Smoot,,1986-87,1988-89,2,1986-87; 1988-89,Administrative Vice-President,"Administrative Vice-President (1988-89); member, Associated Student Government (1986-87)","Pictured in the ""Associated Student Government"" group photograph, front row of the second photo. Adrian Smoot served as administrative vice president of the Associated Student Government for 1988-89, calling the committee chairs together through the year. He walked Congress through the by-law amendments it passed on 20 September 1988, ran an evaluation of every ASG committee across November and December 1988, and read the secretary's letter of resignation to Congress on 24 January 1989.","1987 Talisman, p.114; ASG minutes, 20 September and 22 November 1988, 24 January 1989"
Adrienne Frey,,1998-99,1998-99,1,1998-99,Freshman representative,Freshman representative (1998-99),Sworn in 15 Sept 1998.,"SGA Meeting Minutes, September 15, 1998"
Alaina Minor,,2007-08,2007-08,1,2007-08,Senator,Senator (2007-08),"Approved and sworn to the Student Senate, 19 Feb 2008.","SGA Meeting Minutes, 19 Feb 2008"
Alan Jackson,,1980-81,1980-81,1,1980-81,"Chair, Minority Affairs","Chair, Minority Affairs (1980-81)",Named chairman 2 September 1980; not mentioned again in the minutes read.,
Alan Reid,,1979-80,1979-80,1,1979-80,senior class president,senior class president (1979-80),"Read from the scanned page image of Herald vol. 54 no. 56, p. 6; the OCR text layer for this page is unusable. He is also recorded in ASG Congress at the 24 April 1979 meeting, where the 1979-80 officers were sworn in and ""Alan Reid moved to adjourn"" (https://digitalcommons.wku.edu/sga/Meetings/Minutes/37). The same article names the 1979-80 executives, none of whom is Reid.","The Herald's 19 April 1979 election wrap-up reports, under ""In other races:"", that ""Alan Reid, a Bowling Green junior, defeated William Beavin, a Brandenburg junior, for senior class president, 420-243."""
Alan Thomason,,1991-92,1991-92,1,1991-92,Congress member (seat not specified in minutes),Congress member (seat not specified in minutes) (1991-92),On the absence roll 12 Nov 1991 and 21 Jan 1992.,"ASG Minutes, 12 Nov 1991"
Alea Luckett,,2017-18,2017-18,1,2017-18,Senator,Senator (2017-18),"Luckett served on the organizational aid committee, which reviewed student organisations' funding applications; she is recorded among its members on Bill 11-17-F of September 2017, which split $1,000 between WKU's Habitat for Humanity chapter and the Financial Planning Association.","SGA Bill 11-17-F, 2017-18 session"
Alesia Canafax,,1981-82,1981-82,1,1981-82,Secretary,Secretary (1981-82),"Alesia Canafax was named Secretary in the minutes of 20 October 1981, where she announced an opening for off-campus representatives and asked committee chairpersons for their rolls. She was absent from the 9 February 1982 meeting, where Susan Albert filled in for her and announced a new date for the ASG banquet.","ASG Minutes, 20 Oct 1981"
Alex Cissell,,2021-22,2021-22,1,2021-22,Student Mental Health and Wellbeing Committee Chair,Student Mental Health and Wellbeing Committee Chair (2021-22),"Alex Cissell chaired SGA's Student Mental Health and Well-Being Committee for 2021-22. He co-authored Bill 5-21-F, requiring Title IX training for all collegiate members of SGA, with Senators Kat Howard and Olivia Feck, and Bill 13-22-S, amending the SGA constitution to set out his committee's duties, with Senior Senator Emily Bunning; the senate passed 13-22-S 31-0 on 22 February 2022 and it was vetoed the same day. In April 2022 he announced a week of Mental Health Awareness Week programming, including an April 25 kickoff at Centennial Mall, saying in a press release that the week was meant ""to shed light and reduce stigmas of mental illnesses."" By March 2024, as a WKU senior public relations student, he helped organize a Denim Day event with SGA senators Sophia Bryant and Maiah Cisco and the nonprofit Hope Harbor, raising awareness of sexual assault.","SGA legislation: Bill 13-22-S, A Bill to Amend the Student Government Association Constitution"
Alex Rose,,1992-93,1992-93,1,1992-93,Representative at Large,Representative at Large (1992-93),"Accepted by acclamation, 9 Mar 1993.","SGA Minutes, 9 Mar 1993"
Alex Sergent,,2015-16,2017-18,2,2015-16; 2017-18,Senator,Senator (2015-16); Senator At Large (2017-18); Senator at Large (2017-18),"Recorded voting in favor of Resolution 1-16-S at the senate meeting of 2 February 2016. Alex Sergent chaired SGA's Public Relations Committee during the 2016-17 year. At the Nov. 29, 2016 meeting he argued the proposed Jonesville Memorial Scholarship should be open to all minority students rather than African American students alone, asking whether the goal was repaying Jonesville specifically or, in his words, ""extending that same hand toward all minorities that are currently struggling on campus;"" the Senate kept the scholarship limited to African American recipients. Sergent continued in the Senate as a senator at large through 2017-18, by his own account his third year in SGA. He was a named senator on two November 2017 resolutions, one asking WKU to add a required sexual-assault-education course and one supporting restoration of the Major Redz student organization's traditional reserved football-stadium section, and he made the motion, passed unanimously, to let student speakers address the Senate first at the April 17, 2018 meeting on the disqualification of the MEA executive ticket. As Public Relations Committee vice chair, he stepped in as interim chair when Will Hurst missed the March 20, 2018 meeting, telling the Herald, ""I have not been given any details as to what is going on."" Describing the Senate's fractious 2017-18 year, Sergent compared the tension to a storm, where ""two major thoughts start to collide and they mix,"" and said the result was not inherently bad. He said the friction came from new senators challenging established norms, and that this was something worth celebrating. Sergent co-authored Resolution 1-17-F, for a required first-year Colonnade course on sexual assault prevention, and Resolution 8-17-F, asking that the Major Redz's reserved section in Smith Stadium be restored. In March 2018 he spoke against the bill creating a seat for the Intercultural Student Engagement Center, asking where reserving seats for particular organisations would end; it passed 25-2-1.","SGA Resolution 1-17-F, 2017-18 session; SGA Senate minutes, 2 Feb 2016; SGA legislation: Resolution 1-17-F, Resolution to require Western Kentucky University to add a Sexual Assault Education course for all first year students"
Alex Stewart,,2009-10,2009-10,1,2009-10,Senator,Senator (2009-10),Recorded absent by full name on 2 March 2010.,"SGA Senate minutes, 2 Mar 2010"
Alex Wimsatt,,2005-06,2005-06,1,2005-06,Senator,Senator (2005-06),Appointed and sworn in as a Senator 29 Nov 2005; no further floor action is recorded.,"SGA Meeting Minutes, 29 Nov 2005"
Alexander Baird,,1984-85,1984-85,1,1984-85,Congress member,Congress member (1984-85),Named absent at the roll call of the 4 September 1984 ASG meeting.,"ASG Meeting Minutes, 4 September 1984"
Alexis Baker,,2013-14,2013-14,1,2013-14,"Chair, Campus Improvements Committee (appointed 29 October 2013; resigned by 25 March 2014)","Chair, Campus Improvements Committee (appointed 29 October 2013; resigned by 25 March 2014) (2013-14)",Sworn in as Campus Improvements Committee head 29 October 2013 and gave the committee's reports into November; the Senate's own minutes record her resignation by 25 March 2014. Tyler Scaff was appointed to succeed her the following week.,"SGA Senate minutes, 29 Oct 2013 and c. 25 Mar 2014"
Alexis Courtenay,,2021-22,2021-22,1,2021-22,Director of Public Relations,Director of Public Relations (2021-22),"Alexis Courtenay was director of public relations for 2021-22, confirmed and sworn in with the rest of the cabinet at the second meeting of the 21st Senate. She co-authored Resolution 2-22-S supporting the Swipe-Out Hunger initiative and was a named contact on the Mental Health Awareness Week funding bill; her surname is spelled ""Courteney"" on Bill 14-22-S and ""Courtenay"" elsewhere. In spring 2022 she ran for student body president. In the election announced just after midnight on 20 April 2022 she placed second with 40 percent of the vote, behind Cole Bornefeld's winning ticket at 49 percent and ahead of Olivia Feck at 11 percent.","Wayback capture, wku.edu/sga cabinet, 21 Jan 2022"
Alexis Mayne,,2020-21,2021-22,2,2020-21; 2021-22,Associate Justice,Associate Justice (2020-21); Associate Justice (2021-22),"Nominated to the Judicial Council on 10 November 2020 while serving as a TOP Guide and a hall coordinator; the nomination passed the Senate. Nominating Mayne, then serving as a TOP Guide and a residence hall coordinator, to the Judicial Council at the Senate's 10 November 2020 meeting, President Garrett Edmonds said she fully understood the position's duties and responsibilities; the nomination passed. She continued as an associate justice into the 2021-22 year under Chief Justice Holden Schroeder.","WKU SGA, Senate minutes, 10 Nov 2020; Wayback capture, wku.edu/sga Judicial Council, 21 Jan 2022"
Alice Thomason,,1970-71,1970-71,1,1970-71,Rules and Elections Committee,Rules and Elections Committee (1970-71),"Thomason sat on the Associated Students Rules and Elections Committee in 1970-71, the committee that set election law, decided disputes arising from elections and reported on proposed constitutional amendments. The 1971 Talisman's photograph caption for the committee is the only record of the term found.","1971 Talisman, p. 68, Rules and Elections Committee photograph caption"
Alice Wicks,,1978-79,1978-79,1,1978-79,Secretary,Secretary (1978-79),"Alice Wicks ran unopposed for ASG secretary in the April 1978 election. Before the vote she told the Herald she wanted to make students more aware of what ASG actually did, and that she had joined the organization because she wanted to be more involved in student government.","Herald 53:54, 6 Apr 1978"
Allan Huntsman,,2009-10,2009-10,1,2009-10,Student Senator,Student Senator (2009-10),"Nominated as a student senator in the 27 October 2009 minutes; recorded absent on 16 February, 22 February, 16 March and 23 March 2010.","SGA Senate minutes, 27 Oct 2009"
Allan Kujala,,1983-84,1983-84,1,1983-84,Congress member; ad-hoc research committee,Congress member; ad-hoc research committee (1983-84),"Named to an ad-hoc research committee with Randy Kimmel, Sandy Hill and Jon Holland at the 6 September 1983 meeting. A 600dpi re-read of the scan resolves both names clearly: Allan Kujala, matching in full the ""Allan Kujala"" already flagged in this year's organization.note as an unresolved April 1983 candidate for one of ASG's top offices. A full name match in the same academic year makes it very likely the same person, though no source states this directly, so the two records are not formally merged.","ASG Meeting Minutes, 6 September 1983"
Allen Norvell,,1980-81,1980-81,1,1980-81,Associated Student Government,Associated Student Government (1980-81),"Named in the membership photograph caption, which states no office beside the names.","The 1981 Talisman prints a group photograph captioned ""ASSOCIATED STUDENT GOVERNMENT"" and names Allen Norvell among its twenty-eight members."
Allie Payne,,2014-15,2014-15,1,2014-15,"Justice, Judicial Council","Justice, Judicial Council (2014-15)","Allie Payne served as an associate justice on the SGA Judicial Council for 2014-15, one of six justices with Chief Justice Kara Raley and Stacey Schepers, Robert Bell, Abigail Potter and Amber Daniels. The council was appointed by the SGA president and confirmed by the Senate to interpret the SGA constitution and bylaws and to review and enact election codes, meeting every other Thursday in Cravens Library.","SGA Judicial Branch page, archived 16 Apr 2015 (last modified 25 Feb 2015)"
Allison Ade,,1991-92,1991-92,1,1991-92,"Secretary, Campus Improvement Committee","Secretary, Campus Improvement Committee (1991-92)",Ade was elected secretary of the Campus Improvement Committee at the Associated Student Government's meeting of 17 September 1991.,"ASG Minutes, 17 Sep 1991"
Allison Boyd,,1980-81,1980-81,1,1980-81,Associated Student Government,Associated Student Government (1980-81),"Named in the membership photograph caption, which states no office beside the names.","The 1981 Talisman prints a group photograph captioned ""ASSOCIATED STUDENT GOVERNMENT"" and names Allison Boyd among its twenty-eight members."
Allyson Adams,,1990-91,1990-91,1,1990-91,At-Large Representative (surname unconfirmed),At-Large Representative (surname unconfirmed) (1990-91),"Accepted by floor motion as an At-Large representative alongside Kathleen Young and Juli Carter, 22 Jan 1991; the seat is solid. The surname is genuinely uncertain -- OCR reads 'AllysO tl Adp', not a clean 'Adams' -- and is published as a best guess only.","ASG Minutes, 22 Jan 1991"
Alyson Manley,,2013-14,2013-14,1,2013-14,Senator,Senator (2013-14),Recorded absent from the 4 February 2014 meeting.,"SGA Senate minutes, 4 Feb 2014"
Amanda Allen,Amanda B. Allen,2005-06,2006-07,2,2005-06; 2006-07,Executive Vice President,Executive Vice President (2006-07); Administrative Vice President (2006-07); Director of Information Technology (2005-06),"Confirmed on 6 September 2005; she rebuilt the SGA website, photographed every senator for it, and sent SGA's first mass email from the iPod registration list. Amanda Allen was confirmed Director of Information Technology at SGA's first meeting of 2005-06, on 6 September 2005. She rebuilt the SGA website, photographed every senator for it, and sent the organization's first mass email to students who had registered for its iPod giveaway drawing. Elected administrative vice president for 2006-07, Allen moved up to executive vice president when Jeanne Johnson, the sitting executive vice president, succeeded to the presidency partway through the year. By the 6 February 2007 meeting she was reporting to the Senate as executive vice president, telling members the Listen Up Legislators calling campaign had passed sixty callers on its first day, and raising a point of information at the same meeting on rounding vending-machine prices in Resolution 09-06-F. She received SGA's highest honor, the Charles A. Keown Award, at the May 2007 banquet. Received the Charles A. Keown Award at the May 2007 banquet, SGA's highest honor.","SGA Senate minutes, 6 Feb 2007, TopSCHOLAR; SGA Senate minutes, 6 Sep 2005, TopSCHOLAR; WKU News, 2 May 2007 (Wayback)"
Amanda Beers,,2008-09,2008-09,1,2008-09,Senator,Senator (2008-09),Moved to amend the budget bill on 2 September 2008 and repeatedly spoke for the Sustainability committee; nominated Senator of the Semester in November.,"SGA Meeting Minutes, 2 Sept 2008"
Amanda Button,,1990-91,1990-91,1,1990-91,Congress member (seat not specified),Congress member (seat not specified) (1990-91),On the absence roll 4 Sept 1990 and 16 Oct 1990 (OCR renders the surname 'Buc t o n' the second time).,"ASG Minutes, 4 Sept 1990"
Amanda Coates,,1998-99,1999-00,2,1998-99; 1999-00,president,president (1999-00); President (1999-00); Ogden College representative (1998-99),"Called 'Mandy Coates'/'Mandy Coats' in weekly council reports, 'Amanda Coates' in special-order and award text; held the seat all year, gave a special-order speech on InfoRed (2 Mar 1999), and ran for President in spring 1999 on a 'Coates/Martin' ticket per the 6 April primary results. Contemporaneous records give her name as Amanda J. Coates. The SGA's own 2001 list of presidents records Amanda J. Coates of Brownsville as the 33rd president, serving 1999-2000, and marks her as having also served as student regent. The organization's website during and just after her term consistently refers to ""President Amanda Coates."" She won the presidency in a contested April 1999 race against Will Jones, in results so close the Coates-Martin ticket demanded a recount: the initial 616-611 tally over Jones and running mate Kara Yeckering narrowed to 614-611 on the recount. A write-in ticket, Dwight Campbell and Kerri Richardson, took 145 votes. The same election saw a bitter down-ballot fight for vice president of finance, where Joe Matheis beat Ryan Morrison 700-688 only after SGA's judicial council reviewed - and let stand - his victory over a campaign-flier violation, and a Herald letter to the editor questioned SGA's handling of an investigation into racially charged fliers that had targeted Jones, the first Black SGA presidential candidate in years. The Herald's pre-election issue had separately reported SGA questioning an election-eve pizza party Jones held, and a debate over dropping the rule requiring a year of SGA service before running for office. Her signature project was publishing faculty evaluations. From February 2000 she led meetings with the university president, the Faculty Senate chair and the senate's executive committee, and in April she co-authored Resolution 00-2-S with Adam Howard asking the Faculty Senate to approve a mandatory published evaluation beginning that fall. At the end of her term the SGA website opened with the words ""What SGA has done for you,"" showcasing three things: the faculty evaluations project, the fight over the Vice President of Student Affairs position and the Provide-A-Ride service. It is as close to a self-written record of her administration's priorities as survives. As her term closed, the Herald ran an exit interview, ""Amanda Coates Reflects on Year as President,"" in its April 25, 2000 issue. The election to succeed her, held in late March 2000, was contested between Cassie Martin and Duan Wright; Martin won, and by the following issue the Herald was asking the incoming president to ""stand up on tough issues"" while confirming that the faculty evaluations Coates had championed would be conducted and published starting that fall. The Herald introduced the incoming 1999-2000 president on April 22, 1999 under the headline 'New Student Government Association Leader Workaholic.' The paper's index records the new leader's name as Amanda Coates, and she took office in the aftermath of a spring election that SGA's Judicial Council had overturned two days earlier. Her congress spent the fall of 1999 building institutions: it created an Information Technology Director and website guidelines, established a senior awards banquet and hall of distinguished seniors, launched the toll-free Topline activity line, and publicly opposed an administrative move in Student Affairs while asking that Vice President Jerry Wilder be retained. Her public service continued past her SGA year at the state level. Kentucky's Council on Postsecondary Education carries a statewide student member, and the council's minutes of 13 November 2000 record a district judge swearing her in, introducing her as Amanda Coates, a graduate of Western Kentucky University then studying public policy at the University of Kentucky. The council's minutes of 30 July 2001 record Governor Paul Patton appointing Christopher J. Pace to replace the outgoing student member, named there as ""Amanda Coates Lich."" Those two records together are what tie the Coates who led WKU's SGA in 1999-2000 to the surname the SGA Chambers plaque uses for the same year. Won a recount, 614-611, over Will Jones and running mate Kara Yeckering.","Herald 74:51, 15 Apr 1999; SGA Meeting Minutes, March 2, 1999; WKU SGA, Presidents 1966-Present (archived 2001)"
Amanda Cole,,1997-98,1998-99,2,1997-98; 1998-99,"Chairperson, Public Relations Committee","Chairperson, Public Relations Committee (1998-99); Freshman Council (1997-98); Historian (1998-99)","Elected to Freshman Council in the 3 Feb 1998 election results. Amanda Cole was appointed historian at the executive retreat in July 1998. She also chaired the Public Relations Committee from the start of the year and set the theme for the 1999 Coming Home celebration, ""Mardi Gras on the Hill."" Reported for the committee from the first meeting of 1 September 1998; her committee drafted the measure to help the Kappa Alpha members after the fire and set the 1999 Coming Home theme.","SGA Executive Council Minutes, 18-19 Jul 1998; SGA Meeting Minutes, 1 Sep 1998; SGA Meeting Minutes, 3 Feb 1998"
Amanda Harder,,2017-18,2018-19,2,2017-18; 2018-19,"Chair, Committee of Academic and Student Affairs (CASA)","Chair, Committee of Academic and Student Affairs (CASA) (2018-19); Senator (2017-18)","Amanda Harder served as an SGA senator during the 2017-18 year. She co-authored, with senator Logan Hornback, Bill 15-18-S, which the Senate passed unanimously on March 20, 2018 to fund $300 for the newly formed WKU Students for Breast Cancer Awareness and its ""#WhyIFight"" fundraising campaign. Harder said her mother had been diagnosed with breast cancer and that the cause was ""something I'm really passionate about."" By the 2018-19 year Harder chaired the Academic and Student Affairs Committee. She was lead author, with students Mary Fyfe, Alec Zaffiro, Krystal Neal and Taylor Vowels, of Resolution 5-19-S, which the Senate passed 23-1 on April 23, 2019 to support installing a $5 student fee funding the College Heights Herald, citing SGA's past legislation backing the Herald in its public-records lawsuit against WKU. A Senate committee distinct from the executive Director of Academic and Student Affairs.","SGA Senate minutes, 13 Nov 2018; SGA legislation: Bill 15-18-S, Funding for the WKU Students for Breast Cancer Awareness"
Amanda K. Thurmond,,1994-95,1994-95,1,1994-95,Jr. Off Campus Rep.,Jr. Off Campus Rep. (1994-95),"She was one of eight junior off-campus representatives on the Fall 1994 membership list. The attendance roll names her absent at the first four meetings of the year, 30 August and 6, 13 and 20 September 1994, which took in the constitutional review, the approval of the 1994-95 budget and the voter registration drive, and records her present from 27 September onward.",SGA Records: Membership List Fall 1994
Amanda Kidd,,2006-07,2006-07,1,2006-07,Senator,Senator (2006-07),"Sworn in to the Senate at the first meeting, 5 September 2006.","SGA Meeting Minutes, 5 Sep 2006"
Amanda Kirby,,1997-98,1998-99,2,1997-98; 1998-99,"Floor member; sworn in as Vice-Chair of Student Affairs, 29 Sept 1998","Floor member; sworn in as Vice-Chair of Student Affairs, 29 Sept 1998 (1998-99); McLean Hall representative (1997-98)","Elected McLean Hall representative in the 3 Feb 1998 election results. Very active: authored and moved on several resolutions; won Congress member of the month, Oct 1998; top finisher in the spring VP of Administration race.","SGA Meeting Minutes, 3 Feb 1998; SGA Meeting Minutes, October 20, 1998"
Amanda Snyder,,2002-03,2002-03,1,2002-03,At-large representative,At-large representative (2002-03),"Sworn in as at-large Congress member, 5 February 2003.","SGA Meeting Minutes, 5 Feb 2003"
Amarah Reed,,2016-17,2016-17,1,2016-17,Associate Justice,Associate Justice (2016-17),"Amarah Reed served as an Associate Justice on WKU SGA's Judicial Council in the fall of 2016-17. Chief Justice Cody Cox announced at the SGA meeting of 15 November 2016 that she had stepped down from the council; the Herald's report the next day did not give a reason for her departure. Associate Justice Jacob McAndrews was appointed to the council to succeed her, reported by the Herald on 30 November 2016.","SGA Judicial Council page, archived 1 Nov 2016 (last modified 29 Aug 2016)"
Amber Daniel,,2015-16,2015-16,1,2015-16,Chief Justice,Chief Justice (2015-16),"Amber Daniel was chief justice of the SGA Judicial Council for 2015-16. The Senate's meeting of 2 February 2016 heard the Judicial Council's report that she had been elected chief justice at the council's previous meeting, alongside the election of Cody Cox as a new associate justice; the minutes do not record how the chief justice's office fell vacant or when the election took place. An associate justice named Amber Daniels served on the 2014-15 council, and a justice being promoted the following year would fit that record, but nothing confirms the two spellings name the same person.","SGA Senate minutes, 2 Feb 2016"
